t,iter,drug_c,pd_output_1,scope,scenario
0.0,1,0.0,4.933396961078909,ode_,scn1
2.0,1,0.0,4.933396961078909,ode_,scn1
4.0,1,0.0,4.933396961078909,ode_,scn1
8.0,1,0.0,4.933396961078909,ode_,scn1
12.0,1,0.0,4.933396961078909,ode_,scn1
24.0,1,0.0,4.933396961078909,ode_,scn1
48.0,1,0.0,4.933396961078909,ode_,scn1
72.0,1,0.0,4.933396961078909,ode_,scn1
120.0,1,0.0,4.933396961078909,ode_,scn1
0.0,2,0.0,4.688185364555787,ode_,scn1
2.0,2,0.0,4.688185364555787,ode_,scn1
4.0,2,0.0,4.688185364555787,ode_,scn1
8.0,2,0.0,4.688185364555787,ode_,scn1
12.0,2,0.0,4.688185364555787,ode_,scn1
24.0,2,0.0,4.688185364555787,ode_,scn1
48.0,2,0.0,4.688185364555787,ode_,scn1
72.0,2,0.0,4.688185364555787,ode_,scn1
120.0,2,0.0,4.688185364555787,ode_,scn1
0.0,3,0.0,4.351348224436128,ode_,scn1
2.0,3,0.0,4.351348224436128,ode_,scn1
4.0,3,0.0,4.351348224436128,ode_,scn1
8.0,3,0.0,4.351348224436128,ode_,scn1
12.0,3,0.0,4.351348224436128,ode_,scn1
24.0,3,0.0,4.351348224436128,ode_,scn1
48.0,3,0.0,4.351348224436128,ode_,scn1
72.0,3,0.0,4.351348224436128,ode_,scn1
120.0,3,0.0,4.351348224436128,ode_,scn1
0.0,4,0.0,4.244560213536073,ode_,scn1
2.0,4,0.0,4.244560213536073,ode_,scn1
4.0,4,0.0,4.244560213536073,ode_,scn1
8.0,4,0.0,4.244560213536073,ode_,scn1
12.0,4,0.0,4.244560213536073,ode_,scn1
24.0,4,0.0,4.244560213536073,ode_,scn1
48.0,4,0.0,4.244560213536073,ode_,scn1
72.0,4,0.0,4.244560213536073,ode_,scn1
120.0,4,0.0,4.244560213536073,ode_,scn1
0.0,5,0.0,5.182747480684155,ode_,scn1
2.0,5,0.0,5.182747480684155,ode_,scn1
4.0,5,0.0,5.182747480684155,ode_,scn1
8.0,5,0.0,5.182747480684155,ode_,scn1
12.0,5,0.0,5.182747480684155,ode_,scn1
24.0,5,0.0,5.182747480684155,ode_,scn1
48.0,5,0.0,5.182747480684155,ode_,scn1
72.0,5,0.0,5.182747480684155,ode_,scn1
120.0,5,0.0,5.182747480684155,ode_,scn1
0.0,6,0.0,4.128885367726912,ode_,scn1
2.0,6,0.0,4.128885367726912,ode_,scn1
4.0,6,0.0,4.128885367726912,ode_,scn1
8.0,6,0.0,4.128885367726912,ode_,scn1
12.0,6,0.0,4.128885367726912,ode_,scn1
24.0,6,0.0,4.128885367726912,ode_,scn1
48.0,6,0.0,4.128885367726912,ode_,scn1
72.0,6,0.0,4.128885367726912,ode_,scn1
120.0,6,0.0,4.128885367726912,ode_,scn1
0.0,7,0.0,5.513292410031834,ode_,scn1
2.0,7,0.0,5.513292410031834,ode_,scn1
4.0,7,0.0,5.513292410031834,ode_,scn1
8.0,7,0.0,5.513292410031834,ode_,scn1
12.0,7,0.0,5.513292410031834,ode_,scn1
24.0,7,0.0,5.513292410031834,ode_,scn1
48.0,7,0.0,5.513292410031834,ode_,scn1
72.0,7,0.0,5.513292410031834,ode_,scn1
120.0,7,0.0,5.513292410031834,ode_,scn1
0.0,8,0.0,4.138462586937183,ode_,scn1
2.0,8,0.0,4.138462586937183,ode_,scn1
4.0,8,0.0,4.138462586937183,ode_,scn1
8.0,8,0.0,4.138462586937183,ode_,scn1
12.0,8,0.0,4.138462586937183,ode_,scn1
24.0,8,0.0,4.138462586937183,ode_,scn1
48.0,8,0.0,4.138462586937183,ode_,scn1
