scenario,endpoint,metric.values,metric.levels,metric.type,id
scn1,drug_c_000,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m001
scn1,drug_c_002,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m002
scn1,drug_c_004,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m003
scn1,drug_c_008,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m004
scn1,drug_c_012,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m005
scn1,drug_c_024,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m006
scn1,drug_c_048,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m007
scn1,drug_c_072,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m008
scn1,drug_c_120,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m009
scn2,drug_c_000,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m010
scn2,drug_c_002,0.38920281505287097;0.4060918721769748;0.41976031164606864;0.42981780541385617;0.4396928664731063;0.45140517827523063;0.463090528220065;0.4769630133625298;0.500571499454205,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m011
scn2,drug_c_004,0.22867907832615084;0.23663479888790667;0.24251252087554975;0.2475148022950002;0.2519080089423623;0.25711496147638374;0.26175049439313514;0.2689939683353787;0.2784620457458647,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m012
scn2,drug_c_008,0.15867145476058425;0.1668861678122258;0.17208716925914475;0.17636872129166373;0.18108163468860164;0.18588902903299592;0.19089573725840578;0.1976300123258883;0.2060582742572732,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m013
scn2,drug_c_012,0.11741086709179648;0.12531798242000658;0.13013983571098586;0.13499178157124764;0.1393485928137072;0.1437854027905119;0.14865069520138652;0.15522361231393886;0.1643919854020438,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m014
scn2,drug_c_024,0.1657359467307207;0.17868708813344875;0.1877459746908477;0.19584819735151127;0.20416611641183485;0.21098664400402142;0.219330254804525;0.2306812118575523;0.24931832213361338,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m015
scn2,drug_c_048,0.19559229024713282;0.21376102162472743;0.22592259854085123;0.23781297831443268;0.24956726333904;0.25984043276314966;0.27196071999986926;0.2891278714495179;0.3147951830369483,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m016
scn2,drug_c_072,0.20222099991201478;0.22165234459425448;0.23533495011923375;0.2480054516899274;0.2616067230993988;0.27264583917183915;0.286502506615094;0.30503389116651836;0.3345030753790087,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m017
scn2,drug_c_120,0.2053123607962962;0.22539315672149246;0.2394329273136218;0.2528837390545799;0.2673438975560922;0.27869922794506774;0.29327369460246094;0.3129248523940804;0.3444614483233604,0.1;0.2;0.3;0.4;0.5;0.6;0.7;0.8;0.9,quantile,m018
